"State.Code","Evusheld","Molnupiravir","Paxlovid","cases2022","casesLastSevenDays","POPESTIMATE2020","cases2022Share","cases7DaysShare","paxlovidShare","molnupiravirShare","pPlusMShare","populationShare","cases2022Per100000","cases7DaysPer100000","paxlovidCoursesPer100000","molnupiravirCoursesPer100000","pPlusMCoursesPer100000","cases7DaysPerPaxlovid","cases7DaysPerMolnupiravir","cases7DaysperPPlusM","rowDate"
"NJ",3709,20790,4135,561977,24003,8882371,0.0276133968192291,0.0111640977722502,0.0426284265110669,0.0425271650193101,0.0425439307690338,0.0270982034055802,6326.88051422306,270.231900919248,46.5528854851931,234.059126780451,280.612012265644,5.80483675937122,1.15454545454545,0.963009027081244,"2022-02-07"
"VT",502,1571,166,37457,3732,623347,0.00184049348044113,0.00173580022855633,0.00171132256368491,0.00321357269097336,0.00296484685038362,0.00190169762085576,6009.01263662134,598.703450886906,26.6304321669953,252.026559845479,278.656992012475,22.4819277108434,2.37555697008275,2.14853195164076,"2022-02-07"
"MD",4287,14665,1880,249362,11925,6055802,0.012252693362249,0.00554646777211529,0.0193812434923351,0.0299981180860116,0.0282402942657438,0.0184749493552926,4117.73700659302,196.918591459893,31.044608129526,242.164456499734,273.20906462926,6.34308510638298,0.813160586430276,0.7207615593835,"2022-02-07"
"KY",1277,10763,1400,322031,46688,4477251,0.0158233696238336,0.0217151771358087,0.0144328408985474,0.0220163481049944,0.0207607554641428,0.0136591297859364,7192.60546259301,1042.78272538216,31.269187275853,240.393044750004,271.662232025857,33.3485714285714,4.33782402675834,3.83852667927321,"2022-02-07"
"WI",4197,12735,2425,414735,31984,5832655,0.0203784890303748,0.0148761614443049,0.0249997422706982,0.0260501898278458,0.0258762684236129,0.0177941758551376,7110.56971482112,548.360909397178,41.5762632969034,218.339675499408,259.915938796311,13.1892783505155,2.51150372987829,2.10976253298153,"2022-02-07"
"MS",543,6607,1032,208125,34196,2966786,0.0102264651631687,0.0159049905186796,0.0106390655766435,0.0135150062184984,0.0130388400058034,0.00905102595791458,7015.16725506996,1152.62779317416,34.7851176323469,222.698907167554,257.484024799901,33.1356589147287,5.17572271832904,4.47650215996858,"2022-02-07"
"LA",1292,9733,1932,304787,28209,4645318,0.0149760655264226,0.0131203613738868,0.0199173204399955,0.0199094226615173,0.0199107302876943,0.0141718660532872,6561.16545734867,607.256596857309,41.5902635729136,209.522792626899,251.113056199812,14.6009316770186,2.89828418781465,2.41825975139306,"2022-02-07"
"WA",3640,14304,3506,518694,73271,7693612,0.0254866360184726,0.0340792654197618,0.0361439572787909,0.0292596714014532,0.0303994947641522,0.0234715553875888,6741.8788470227,952.361517581079,45.5702731044924,185.920475324204,231.490748428696,20.8987450085568,5.12241331096197,4.11403705783268,"2022-02-07"
"CA",29426,73941,14823,3104720,368463,39368078,0.152554046469156,0.171376784462634,0.152812857599406,0.151250654578779,0.151509306751555,0.12010353827044,7886.38957685463,935.943583529783,37.6523334464029,187.819684770996,225.472018217399,24.8575187209067,4.98320282387309,4.15104096255239,"2022-02-07"
"NV",829,5855,1206,164030,17123,3138259,0.00805980579322311,0.00796412307437569,0.0124328615168916,0.0119767460888918,0.0120522646002065,0.00957415319866652,5226.78338531014,545.62099559023,38.4289505741878,186.56841261349,224.997363187678,14.198175787728,2.92450896669513,2.42501062172497,"2022-02-07"
"IN",4207,12330,2334,400083,42865,6754953,0.0196585458828878,0.0199370516605218,0.0240616076122927,0.0252217385612358,0.0250296570028932,0.0206079086754127,5922.80952954077,634.571402643364,34.5524239768952,182.532728206991,217.085152183886,18.3654670094259,3.4764801297648,2.92314511729405,"2022-02-07"
"MN",4310,9176,2594,336846,49393,5657342,0.0165513219668599,0.022973306722691,0.0267419923505943,0.0187700464750933,0.0200899524634515,0.017259333600334,5954.13888713109,873.077851754411,45.8519212732764,162.196310564219,208.048231837495,19.0412490362375,5.38284655623365,4.19651656754461,"2022-02-07"
"PA",1564,21622,4968,652384,51091,12783254,0.0320556504456872,0.0237630679199281,0.0512159668457026,0.0442290698435557,0.0453858824131839,0.0389989583949147,5103.42671748523,399.671319994111,38.8633441845089,169.143161827184,208.006506011693,10.2840177133655,2.36291739894552,1.92143663031215,"2022-02-07"
"VA",2102,15003,2649,444403,42292,8590563,0.0218362608908476,0.0196705421398994,0.0273089968144658,0.0306895169208614,0.0301298080615842,0.026207959962768,5173.1533777239,492.307663653709,30.8361628917686,174.645130941942,205.48129383371,15.9652699131748,2.81890288608945,2.39587582143666,"2022-02-07"
"KS",1592,5400,568,224949,21669,2913805,0.0110531320696199,0.0100785249605003,0.0058556097359821,0.0110460168881325,0.0101866470944672,0.0088893923226351,7720.11167528369,743.66678621253,19.4934115357754,185.324687135893,204.818098671668,38.1496478873239,4.01277777777778,3.63086461126005,"2022-02-07"
"AK",72,1206,283,65783,12125,731158,0.00323232460218006,0.00563949029240234,0.00291749569592066,0.00246694377168292,0.00254154114002373,0.00223060579271202,8997.09775452091,1658.3282956625,38.7057243441226,164.943828830431,203.649553174553,42.8445229681979,10.0538971807629,8.14304902619208,"2022-02-07"
"OK",3782,6752,1281,286608,31891,3980783,0.0140828191110412,0.0148329059723714,0.0132060494221709,0.0138116122275316,0.013711349884359,0.0121445127035873,7199.78958913359,801.1237990114,32.1795988377161,169.614872250007,201.794471087723,24.8953942232631,4.72319312796209,3.96999875513507,"2022-02-07"
"IA",1768,5073,1238,147352,17412,3163561,0.00724031276743895,0.00809854061619048,0.0127627550231441,0.0103771191987956,0.0107721062019407,0.00965134415844156,4657.78911802238,550.392421704528,39.1331161308412,160.357268280902,199.490384411744,14.064620355412,3.43228858663513,2.7589922357788,"2022-02-07"
"TX",13578,52152,5824,1707127,208065,29360759,0.0838816806947972,0.0967736534176241,0.0600406181379573,0.106679976435164,0.0989579510638116,0.0895733604827157,5814.31495010057,708.649936467923,19.8359994712671,177.624835924712,197.460835395979,35.7254464285714,3.98958812701335,3.58881261211536,"2022-02-07"
"UT",969,6006,378,261275,23016,3249879,0.0128380525429761,0.0107050316346336,0.00389686704260781,0.0122856254500229,0.0108967082860386,0.00991468181024229,8039.53008712017,708.210982624276,11.6312022693768,184.80688050232,196.438082771697,60.8888888888889,3.83216783216783,3.60526315789474,"2022-02-07"
"ID",1235,3162,426,70333,13620,1826913,0.0034558941709124,0.00633483363154803,0.00439170730198658,0.00646805655560647,0.00612427777730365,0.00557351861099911,3849.82755062775,745.51990160451,23.3180233541499,173.078849403338,196.396872757488,31.9718309859155,4.30740037950664,3.79598662207358,"2022-02-07"
"MO",4374,9871,2138,344838,37316,6151548,0.0169440182291256,0.0173561418351576,0.022041009886496,0.0201917097597696,0.0204978962730322,0.0187670498072182,5605.71095275531,606.611539079269,34.7554794337945,160.463675159488,195.219154593283,17.4536950420954,3.78036673082768,3.10733616454326,"2022-02-07"
"IL",7111,19705,4203,776554,60389,12587530,0.0381568885444771,0.028087684888073,0.0433294502118535,0.0403077338482686,0.0408080359809854,0.0384018465693274,6169.23256588068,479.752580530096,33.3901885437413,156.543817571835,189.934006115576,14.3680704258863,3.06465364120782,2.52589091517484,"2022-02-07"
"NY",10065,29253,7347,651806,39362,19336776,0.0320272497400328,0.0183077622176941,0.0757414872011629,0.0598387281534333,0.0624717298353716,0.0589923444152627,3370.81010815867,203.560303951393,37.9949584149912,151.281682117019,189.27664053201,5.35756090921465,1.3455713943869,1.07546448087432,"2022-02-07"
"NC",3366,16808,2777,773698,95376,10600823,0.0380165556459497,0.0443605794744879,0.0286285708394759,0.0343817503436539,0.0334292029733812,0.032340830834532,7298.4710715385,899.703730549977,26.1960793044087,158.553727385128,184.749806689537,34.3449765934462,5.67444074250357,4.86984937452132,"2022-02-07"
"WV",812,2725,542,129950,19223,1784787,0.00638524515533343,0.0089408595373897,0.00558757126215194,0.00557414741114093,0.00557636998284588,0.00544500124591005,7280.980867745,1077.04728911629,30.3677693752812,152.679283298231,183.047052673512,35.4667896678967,7.0543119266055,5.88399142944597,"2022-02-07"
"ME",1264,2231,193,34249,6768,1350141,0.00168286465044259,0.00314788208651373,0.00198967020958547,0.00456364142174511,0.0041374719431951,0.0041189897882236,2536.69801894765,501.280977320147,14.2948032835089,165.242000650302,179.536803933811,35.0673575129534,3.03361721201255,2.79207920792079,"2022-02-07"
"WY",219,843,159,34204,5316,582328,0.00168065352283974,0.00247253858922976,0.00163915835919217,0.00172440596975846,0.00171029162008312,0.00177655747466129,5873.66570043,912.887582256048,27.3041996950172,144.763775741506,172.067975436524,33.4339622641509,6.30604982206406,5.30538922155689,"2022-02-07"
"SC",1718,8607,343,428838,45101,5218040,0.0210714564211072,0.020977043437331,0.00353604602014412,0.0176061235844734,0.015276556885972,0.0159191176881098,8218.37318226767,864.328368506182,6.57334938022706,164.946991590712,171.520340970939,131.489795918367,5.24003717904032,5.03921787709497,"2022-02-07"
"MT",374,1468,328,52305,11228,1080577,0.00257006731704283,0.00522228428891492,0.00338140843908826,0.00300288014662565,0.00306555264438053,0.00329660800493378,4840.46948991141,1039.0744944599,30.3541533828686,135.853345018448,166.207498401317,34.2317073170732,7.64850136239782,6.25167037861915,"2022-02-07"
"GA",1044,15800,1233,563246,56607,10710017,0.0276757506176294,0.0263286290294449,0.0127112091627921,0.0323198271912025,0.0290732506635488,0.0326739582419178,5259.05794547292,528.542578410473,11.5125867680696,147.525442770072,159.038029538142,45.9099756690998,3.58272151898734,3.32337227734398,"2022-02-07"
"AR",1720,4124,683,225244,23669,3030522,0.0110676272394607,0.0110087501633708,0.00704116452407707,0.00843588400864044,0.00820496189395168,0.00924547078489356,7432.51492647141,781.020563454085,22.5373714495391,136.082166702634,158.619538152173,34.6544655929722,5.73933074684772,4.92386103598918,"2022-02-07"
"NM",1238,2868,458,139658,19188,2106319,0.00686225908352102,0.00892458059633947,0.00472160080823909,0.00586666230280814,0.00567707577684279,0.00642592621936624,6630.42967375787,910.973124203884,21.744094792859,136.161711497641,157.9058062905,41.8951965065502,6.69037656903766,5.76909200240529,"2022-02-07"
"NE",896,2593,401,102854,10435,1937552,0.00505385152140566,0.00485344999597678,0.0041339780002268,0.00530413366498658,0.00511039232587712,0.00591105440257886,5308.45107640982,538.566190739655,20.6962187337424,133.828666275795,154.524885009538,26.0224438902743,4.02429618202854,3.48530394121576,"2022-02-07"
"AL",308,5983,1086,337314,33938,4921532,0.0165743176939295,0.0157849914675093,0.0111957608684447,0.0122385776003142,0.0120659196231214,0.0150145355562239,6853.84144611881,689.582024459051,22.0662996806685,121.567837006851,143.634136687519,31.2504604051565,5.6724051479191,4.80096194652709,"2022-02-07"
"AZ",3618,8503,2060,521924,74006,7421401,0.0256453458441881,0.0344211231818167,0.0212368944650055,0.0173933854814427,0.0180297508811757,0.0226410981766441,7032.68830238388,997.197159943251,27.7575622176999,114.574054144224,142.331616361924,35.9252427184466,8.70351640597436,7.00615355486131,"2022-02-07"
"RI",439,1237,234,111216,6494,1057125,0.00546472816618363,0.00302044123372048,0.0024123462644715,0.00253035609085553,0.00251081733846535,0.00322506099724094,10520.6101454416,614.307674116117,22.1355090457609,117.015490126522,139.150999172283,27.7521367521368,5.24979789814066,4.41468388851122,"2022-02-07"
"CT",980,3449,927,195952,10070,3557006,0.00962833057851402,0.00468368389645291,0.00955660250925248,0.00705513189762388,0.00746929753441493,0.0108516602270801,5508.90271199992,283.103261563236,26.061243641422,96.9635699236943,123.024813565116,10.8629989212513,2.91968686575819,2.30118829981718,"2022-02-07"
