"State.Code","paxlovidCoursesPer100000","molnupiravirCoursesPer100000","pPlusMCoursesPer100000"
"NJ",46.5528854851931,234.059126780451,280.612012265644
"VT",26.6304321669953,252.026559845479,278.656992012475
"MD",31.044608129526,242.164456499734,273.20906462926
"KY",31.269187275853,240.393044750004,271.662232025857
"WI",41.5762632969034,218.339675499408,259.915938796311
"MS",34.7851176323469,222.698907167554,257.484024799901
"LA",41.5902635729136,209.522792626899,251.113056199812
"WA",45.5702731044924,185.920475324204,231.490748428696
"CA",37.6523334464029,187.819684770996,225.472018217399
"NV",38.4289505741878,186.56841261349,224.997363187678
"IN",34.5524239768952,182.532728206991,217.085152183886
"MN",45.8519212732764,162.196310564219,208.048231837495
"PA",38.8633441845089,169.143161827184,208.006506011693
"VA",30.8361628917686,174.645130941942,205.48129383371
"KS",19.4934115357754,185.324687135893,204.818098671668
"AK",38.7057243441226,164.943828830431,203.649553174553
"OK",32.1795988377161,169.614872250007,201.794471087723
"IA",39.1331161308412,160.357268280902,199.490384411744
"TX",19.8359994712671,177.624835924712,197.460835395979
"UT",11.6312022693768,184.80688050232,196.438082771697
"ID",23.3180233541499,173.078849403338,196.396872757488
"MO",34.7554794337945,160.463675159488,195.219154593283
"IL",33.3901885437413,156.543817571835,189.934006115576
"NY",37.9949584149912,151.281682117019,189.27664053201
"NC",26.1960793044087,158.553727385128,184.749806689537
"WV",30.3677693752812,152.679283298231,183.047052673512
"ME",14.2948032835089,165.242000650302,179.536803933811
"WY",27.3041996950172,144.763775741506,172.067975436524
"SC",6.57334938022706,164.946991590712,171.520340970939
"MT",30.3541533828686,135.853345018448,166.207498401317
"GA",11.5125867680696,147.525442770072,159.038029538142
"AR",22.5373714495391,136.082166702634,158.619538152173
"NM",21.744094792859,136.161711497641,157.9058062905
"NE",20.6962187337424,133.828666275795,154.524885009538
"AL",22.0662996806685,121.567837006851,143.634136687519
"AZ",27.7575622176999,114.574054144224,142.331616361924
"RI",22.1355090457609,117.015490126522,139.150999172283
"CT",26.061243641422,96.9635699236943,123.024813565116
"OH",38.4410893939623,83.5356087208507,121.976698114813
"SD",16.3545670128383,88.1578372541354,104.512404266974
"NH",37.9133044226089,55.9916561453587,93.9049605679676
"MA",28.1711634632485,61.2744564720709,89.4456199353195
"FL",12.1334474929546,75.1059019444436,87.2393494373982
"MI",28.4250676387177,54.4521150989484,82.8771827376661
"HI",23.098693253618,51.8832186927419,74.9819119463599
"OR",20.1343531909767,44.8897054749644,65.0240586659411
"TN",20.1834398796312,42.5304283506761,62.7138682303073
"CO",28.7203978016154,17.0979346624725,45.8183324640879
"ND",4.31198378694096,13.0666175361847,17.3786013231257
