"State.Code","cases7DaysPer100000","cases2022Per100000","paxlovidCoursesPer100000","molnupiravirCoursesPer100000","pPlusMCoursesPer100000"
"NJ",270.231900919248,6326.88051422306,46.5528854851931,234.059126780451,280.612012265644
"VT",598.703450886906,6009.01263662134,26.6304321669953,252.026559845479,278.656992012475
"MD",196.918591459893,4117.73700659302,31.044608129526,242.164456499734,273.20906462926
"KY",1042.78272538216,7192.60546259301,31.269187275853,240.393044750004,271.662232025857
"WI",548.360909397178,7110.56971482112,41.5762632969034,218.339675499408,259.915938796311
"MS",1152.62779317416,7015.16725506996,34.7851176323469,222.698907167554,257.484024799901
"LA",607.256596857309,6561.16545734867,41.5902635729136,209.522792626899,251.113056199812
"WA",952.361517581079,6741.8788470227,45.5702731044924,185.920475324204,231.490748428696
"CA",935.943583529783,7886.38957685463,37.6523334464029,187.819684770996,225.472018217399
"NV",545.62099559023,5226.78338531014,38.4289505741878,186.56841261349,224.997363187678
"IN",634.571402643364,5922.80952954077,34.5524239768952,182.532728206991,217.085152183886
"MN",873.077851754411,5954.13888713109,45.8519212732764,162.196310564219,208.048231837495
"PA",399.671319994111,5103.42671748523,38.8633441845089,169.143161827184,208.006506011693
"VA",492.307663653709,5173.1533777239,30.8361628917686,174.645130941942,205.48129383371
"KS",743.66678621253,7720.11167528369,19.4934115357754,185.324687135893,204.818098671668
"AK",1658.3282956625,8997.09775452091,38.7057243441226,164.943828830431,203.649553174553
"OK",801.1237990114,7199.78958913359,32.1795988377161,169.614872250007,201.794471087723
"IA",550.392421704528,4657.78911802238,39.1331161308412,160.357268280902,199.490384411744
"TX",708.649936467923,5814.31495010057,19.8359994712671,177.624835924712,197.460835395979
"UT",708.210982624276,8039.53008712017,11.6312022693768,184.80688050232,196.438082771697
"ID",745.51990160451,3849.82755062775,23.3180233541499,173.078849403338,196.396872757488
"MO",606.611539079269,5605.71095275531,34.7554794337945,160.463675159488,195.219154593283
"IL",479.752580530096,6169.23256588068,33.3901885437413,156.543817571835,189.934006115576
"NY",203.560303951393,3370.81010815867,37.9949584149912,151.281682117019,189.27664053201
"NC",899.703730549977,7298.4710715385,26.1960793044087,158.553727385128,184.749806689537
"WV",1077.04728911629,7280.980867745,30.3677693752812,152.679283298231,183.047052673512
"ME",501.280977320147,2536.69801894765,14.2948032835089,165.242000650302,179.536803933811
"WY",912.887582256048,5873.66570043,27.3041996950172,144.763775741506,172.067975436524
"SC",864.328368506182,8218.37318226767,6.57334938022706,164.946991590712,171.520340970939
"MT",1039.0744944599,4840.46948991141,30.3541533828686,135.853345018448,166.207498401317
"GA",528.542578410473,5259.05794547292,11.5125867680696,147.525442770072,159.038029538142
"AR",781.020563454085,7432.51492647141,22.5373714495391,136.082166702634,158.619538152173
"NM",910.973124203884,6630.42967375787,21.744094792859,136.161711497641,157.9058062905
"NE",538.566190739655,5308.45107640982,20.6962187337424,133.828666275795,154.524885009538
"AL",689.582024459051,6853.84144611881,22.0662996806685,121.567837006851,143.634136687519
"AZ",997.197159943251,7032.68830238388,27.7575622176999,114.574054144224,142.331616361924
"RI",614.307674116117,10520.6101454416,22.1355090457609,117.015490126522,139.150999172283
"CT",283.103261563236,5508.90271199992,26.061243641422,96.9635699236943,123.024813565116
"OH",366.306380870209,5038.39106038997,38.4410893939623,83.5356087208507,121.976698114813
"SD",544.069397132574,5716.92932922752,16.3545670128383,88.1578372541354,104.512404266974
"NH",644.672558599111,6048.05035589468,37.9133044226089,55.9916561453587,93.9049605679676
"MA",464.359996715782,7105.864098942,28.1711634632485,61.2744564720709,89.4456199353195
"FL",594.028190457119,6482.21955309895,12.1334474929546,75.1059019444436,87.2393494373982
"MI",600.709071489597,5867.41356466703,28.4250676387177,54.4521150989484,82.8771827376661
"HI",768.013782457218,7781.27456457186,23.098693253618,51.8832186927419,74.9819119463599
"OR",794.31673695222,5495.21667652558,20.1343531909767,44.8897054749644,65.0240586659411
"TN",1197.89441708628,7265.71890653964,20.1834398796312,42.5304283506761,62.7138682303073
"CO",512.714199843346,5869.13726370026,28.7203978016154,17.0979346624725,45.8183324640879
"ND",1077.47328203379,7140.25315264815,4.31198378694096,13.0666175361847,17.3786013231257
